"CAPM_Beta ?@?~ -- 20171229,20161230,20151231,20141231",,,,
,,,,
?????N?X,29/12/2017,30/12/2016,31/12/2015,31/12/2014
1101 ?x?d,0.4993,1.2093,0.8966,0.9332
1102 ???d,0.5866,1.096,0.7674,0.7154
1103 ???d,0.5443,0.4671,0.613,0.4221
1104 ???d,0.2982,0.5702,0.5847,0.5479
1108 ????,0.3717,0.2278,0.5686,0.62
1109 ?H?j,0.4502,0.2492,0.3273,0.4537
1110 ?F?d,0.155,0.4705,0.1193,0.4716
1201 ????,0.2369,0.3878,0.8354,0.4867
1203 ????,0.1728,0.1401,0.3446,0.4451
1210 ?j??,0.8519,0.5789,0.5918,0.6417
1213 ?j??,0.2704,0.3154,0.5798,0.2983
1215 ?R??,0.9046,0.6163,0.6598,0.743
1216 ???@,0.5603,0.7473,0.7598,1.1303
1217 ?R????,0.4072,0.6935,0.8459,0.6804
1218 ???s,0.706,0.747,0.6395,0.6327
1219 ????,-0.0431,0.0292,0.2085,0.3885
1220 ?x?a,0.216,0.2549,0.0819,0.1021
1225 ?????o,-0.0575,0.4852,0.3754,1.5602
1227 ????,0.3417,0.6274,0.9802,0.8065
1229 ?p??,0.8062,0.3697,0.3858,0.5025
1231 ?p????,0.3223,0.3473,0.8353,0.7963
1232 ?j???q,0.2598,0.2276,0.2277,0.3841
1233 ????,0.1585,0.281,0.3447,0.2282
1234 ???Q,0.0794,0.2872,0.0765,0.416
1235 ????,0.0954,0.2163,0.465,0.5498
1236 ????,0.1115,0.1052,0.3519,0.3619
1256 ?A???G??-KY,1.0083,1.0106,0.5811,1.173
1262 ????-KY,0.4652,1.2383,0.844,0.887
1301 ?x??,0.9207,0.8652,1.052,0.869
1303 ?n??,0.7132,0.9507,1.1577,1.0471
1304 ?x?E,0.6036,0.8721,0.931,0.7231
1305 ???L,1.0417,1.0274,1.085,0.8304
1307 ?T??,0.4161,0.6633,1.2028,0.3406
1308 ???E,0.6941,0.8008,0.7956,0.5501
1309 ?x?F??,1.0394,0.9513,0.9156,0.7122
1310 ?x?f,0.9016,0.7874,0.8126,0.6217
1312 ????,1.2864,0.9196,0.8611,0.7909
1313 ?p??,0.8223,0.984,0.6469,0.4992
1314 ??????,0.6554,0.9494,1.0239,0.756
1315 ?F?s,0.0046,0.218,0.331,0.2752
1316 ?W?`,0.6562,0.2997,0.3252,0.1486
1319 ?F??,0.9922,1.067,0.829,0.8102
1321 ?j?v,0.7353,0.375,0.5512,0.9196
1323 ????,0.6067,0.8317,0.8727,0.5933
1324 ?a?y,0.138,0.36,0.5759,0.4916
1325 ???j,0.0569,0.0442,-0.0807,-0.2791
1326 ?x??,0.8535,1.0198,1.038,0.9181
1337 ?A??-KY,0.6729,1.0774,1.3666,1.0645
1338 ?s??-KY,0.716,0.8374,1.3081,1.07
1339 ?L??,0.6434,0.6261,0.3511,0.6429
1340 ????-KY,0.3356,0.8013,1.2334,0.9383
1402 ???F?s,0.8541,0.9091,0.8749,0.7782
1409 ?s??,0.6129,0.6974,0.8444,0.855
1410 ?n?V,0.3461,0.194,0.3188,0.1232
1413 ???w,0.3544,0.1856,0.4153,0.4508
1414 ?F?M,0.3339,0.4789,0.5413,0.5213
1416 ?s??,0.2571,0.3315,0.5352,0.4393
1417 ????,0.323,0.7169,0.7802,0.4916
1418 ?F??,-0.2065,-0.1117,0.5758,0.2207
1419 ?s??,0.0188,0.3992,0.282,0.3669
1423 ?Q??,0.4093,0.2224,0.3735,0.3146
1432 ?j?|??,-0.0213,0.4099,0.5333,0.7292
1434 ????,0.7447,1.0785,1.0847,0.9769
1435 ????,0.8916,0.2976,0.4154,0.7214
1436 ?????p,0.1309,0.1197,0.0573,-0.0568
1437 ???q??,0.7355,0.445,0.7089,0.4203
1438 ????,-0.2701,0.4431,0.5782,0.447
1439 ???M,0.666,0.62,0.6148,0.3694
1440 ?n??,0.7276,0.5012,0.8213,0.7946
1441 ?j?F,0.438,0.2386,0.4596,0.3527
1442 ?W?a,0.3014,0.5349,0.3994,0.4884
1443 ???q,0.4984,0.1262,0.4431,0.5394
1444 ?O?R,1.1143,0.5748,0.5628,0.7691
1445 ?j?t,0.3431,0.3563,0.7514,0.1096
1446 ???M,0.3314,0.5183,0.6541,0.1905
1447 ?O?P,0.6078,0.7235,0.8219,0.6982
1449 ???M,0.5751,0.3496,0.4002,-0.0478
1451 ?~??,0.4054,0.3927,0.6665,0.4514
1452 ???q,0.7053,0.8727,1.1106,0.4566
1453 ?j?N,-0.4413,0.2727,0.885,0.1919
1454 ?x?I,0.1209,0.5285,1.0332,0.4392
1455 ????,0.7305,0.6387,0.7746,0.649
1456 ????,0.5057,0.52,0.0661,0.0696
1457 ?y?i,0.4131,0.6137,0.7892,0.5913
1459 ?p?o,0.4038,0.6049,0.6148,0.4868
1460 ????,0.3746,0.7133,1.0791,1.1685
1463 ?j??,0.6003,0.8273,0.704,0.5021
1464 ?o?O,0.4061,1.0633,0.9341,0.5161
1465 ????,0.322,0.278,0.6596,0.4705
1466 ?E??,0.5504,0.503,0.7481,1.1786
1467 ?n?n,0.5694,0.6486,0.7072,0.9238
1468 ???M,0.5293,0.5698,0.0295,0.4808
1469 ?z??,0.0288,0.1029,0.0821,0.192
1470 ?j???V,0.2056,0.2441,0.7532,0.7312
1471 ???Q,0.9831,0.9311,1.3473,1.0603
1472 ?T?v??,0.6234,0.9651,0.8275,0.5355
1473 ?x?n,0.307,0.6649,0.3559,0.4071
1474 ????,0.3148,0.6711,0.664,0.4402
1475 ????,0.7059,0.2326,0.8972,0.2797
1476 ???E,1.2649,1.6268,1.0078,1.0199
1477 ?E??,0.9259,0.8835,0.8758,0.6328
1503 ?h?q,0.3401,0.206,0.1791,0.2283
1504 ?F??,0.7222,1.2245,1.0717,1.5118
1506 ???D,0.3969,0.523,0.7234,0.681
1507 ???j,0.8347,0.524,0.8123,0.609
1512 ???Q,0.2725,0.8746,0.9774,0.6428
1513 ?????q,0.381,0.3269,0.6175,0.6643
1514 ???O,0.2993,0.5374,0.5797,0.4219
1515 ?O?s,1.1959,0.4156,0.6681,0.3287
1516 ?t??,0.8169,0.9268,-0.1917,0.4152
1517 ?Q?_,0.6197,0.2444,0.7638,0.6561
1519 ????,0.605,0.7559,0.697,0.4935
1521 ?j??,0.4195,0.7058,1.0612,1.1886
1522 ??????,0.7729,1.2194,1.0299,1.1565
1524 ????,0.5988,1.0503,0.7507,0.8839
1525 ????,0.4442,1.4143,1.6077,1.3143
1526 ????,0.1001,0.6758,0.8127,0.1527
1527 ?p??,0.5687,0.9123,0.913,0.8796
1528 ???w,0.4095,0.8801,0.5777,0.4402
1529 ???h,0.3349,-0.233,0.8158,0.529
1530 ???Q,0.3791,0.5239,0.9538,1.1452
1531 ???L??,0.171,0.292,0.6452,0.7981
1532 ????,0.5585,0.5514,0.7563,0.7956
1533 ?????q,0.7207,1.0941,1.1522,1.0865
1535 ???t,0.258,0.49,0.5053,0.5963
1536 ?M?j,0.9872,0.9127,1.0634,1.2345
1537 ?s??,0.3359,0.4228,0.8756,0.8685
1538 ???p?s,0.8086,1.021,0.7871,0.8496
1539 ???x,0.7778,1.0866,0.8062,1.2802
1540 ????,0.3094,0.4108,0.6638,0.6267
1541 ????,0.5317,1.1966,1.3323,0.5592
1558 ????,0.2948,0.4453,1.1576,NA
1560 ????,1.3071,0.7824,1.0546,1.3969
1568 ????,1.276,1.3631,0.5934,0.9718
1582 ?H?A,0.4521,0.5911,0.7802,0.9167
1583 ?{??,0.2547,0.6854,0.8701,1.1828
1587 ?N?Z,NA,NA,NA,NA
1589 ???a-KY,0.924,0.6421,1.1193,1.4013
1590 ???w??-KY,1.1024,1.1941,1.1993,1.0958
1592 ?^??-KY,0.5127,0.9107,0.6702,1.2416
1598 ???t,0.4691,1.3693,NA,NA
1603 ???q,0.7136,0.4818,0.7644,0.4511
1604 ?n?_,0.4911,0.42,0.2118,0.5594
1605 ???s,1.1687,0.9787,1.1554,1.2062
1608 ???a,0.839,0.5519,0.7189,0.6706
1609 ?j??,0.8071,0.6259,0.6829,0.533
1611 ???q,0.4689,0.9646,0.7977,0.5365
1612 ????,0.669,0.2878,0.4681,0.5026
1614 ?T?v?q,0.1269,0.4516,0.4951,0.415
1615 ?j?s,0.8751,0.2566,0.2682,0.6875
1616 ????,0.8432,0.2185,0.8067,0.5518
1617 ?a?P,0.9333,0.1184,0.4501,0.4204
1618 ?X??,0.4273,0.4648,0.766,0.7191
1626 ?????S-KY,0.6406,0.3947,0.5475,0.8864
1701 ????,0.2843,0.4809,0.8905,0.7125
1702 ?n??,0.4319,0.5476,0.7889,1.0655
1704 ?a??,0.727,1.1302,0.8892,0.9619
1707 ??????,0.3337,1.0053,1.2526,0.3947
1708 ?F?P,0.4382,0.6779,0.8062,0.7277
1709 ?M?q,0.3595,0.453,0.4094,0.3359
1710 ?F?p,1.3899,0.7603,0.8208,0.8666
1711 ????,0.4582,0.706,1.1269,1.4071
1712 ???A,0.4115,0.3725,0.563,0.5301
1713 ????,0.1289,0.1423,0.3314,0.4214
1714 ?M??,0.9254,0.7863,0.872,0.5793
1717 ????,0.4816,0.2428,0.4834,0.7571
1718 ????,1.0682,0.8531,1.0571,1.0951
1720 ???F,0.3558,0.752,1.0119,0.7317
1721 ?T??,0.2825,0.5857,0.5471,0.6297
1722 ?x??,0.5693,0.6736,0.8508,0.4539
1723 ????,0.4858,0.4945,0.6964,0.6347
1724 ?x?v,0.1442,0.5219,0.6163,0.4293
1725 ????,0.1396,0.2423,0.6579,0.7299
1726 ???O,0.1041,0.2453,0.5219,0.6747
1727 ??????,0.3696,0.3923,0.6322,0.3863
1730 ???P?l,0.1572,0.3397,0.6321,0.3438
1731 ???^??,0.3186,0.5478,0.8497,0.531
1732 ???_,0.1903,0.0317,0.4383,-0.2735
1733 ????,0.414,0.8459,0.7834,0.7071
1734 ????,0.368,0.706,1.016,0.7141
1735 ??????,0.2624,0.2438,0.3098,0.341
1736 ???s,0.4829,0.7773,1.1709,0.8111
1737 ?O?Q,0.3036,0.6486,0.6038,0.6652
1760 ?_??,NA,NA,NA,NA
1762 ??????,0.2698,1.0457,0.9097,0.89
1773 ???@,0.7348,0.3746,0.3465,0.579
1776 ?i?t,0.1795,0.515,NA,NA
1783 ?M?d??,0.252,1.0855,1.0272,1.3045
1786 ????,0.6056,0.9155,0.88,1.0321
1789 ????,0.5786,1.1542,0.9151,0.8722
1802 ?x??,1.0369,1.0653,1.5099,1.1588
1805 ?_?t,0.6805,0.2978,0.2297,0.4293
1806 ?a?x,0.5367,0.3912,0.758,0.7876
1808 ????,0.4937,0.4906,0.8073,0.3282
1809 ???V,0.7477,0.4973,0.9179,0.6661
1810 ?M??,0.3832,0.5728,0.8744,0.7119
1817 ??????,0.0481,0.4611,0.9067,0.3655
1902 ?x??,0.8316,0.3084,0.5883,0.5432
1903 ?h??,0.6133,0.555,0.761,0.6975
1904 ????,0.8639,0.3011,0.5054,0.3564
1905 ????,0.9463,0.4035,0.6326,0.4224
1906 ?_??,1.2398,0.7971,0.4989,0.8269
1907 ?????l,0.9861,0.5947,0.7528,0.6783
1909 ?a??,1.376,0.4493,0.6174,0.6672
2002 ????,0.6495,1.0266,0.8242,0.6102
2006 ?F?M???K,0.4694,0.5992,0.5248,0.5776
2007 ?M??,0.7769,0.7424,0.6175,0.6894
2008 ??????,0.4686,0.6091,0.5091,0.5404
2009 ???@??,1.0152,0.6166,0.7357,0.4836
2010 ?K??,0.3147,0.5387,0.4506,0.2773
2012 ?K?B,0.0084,0.2408,0.3598,0.4733
2013 ?????c,0.2915,0.7016,0.4319,0.4011
2014 ???E,0.8073,1.1571,0.8078,0.4773
2015 ????,0.3691,0.4865,0.345,0.5696
2017 ?x????,0.4818,0.6668,0.4601,0.4513
2020 ????,0.3663,0.2736,0.2375,0.1205
2022 ?E??,0.7985,0.8089,0.792,0.9116
2023 ?M??,1.0651,0.8396,0.6665,0.5295
2024 ???p,0.5336,0.4745,0.3253,0.4963
2025 ?d??,0.513,0.5624,0.9477,0.9168
2027 ?j????,0.7558,0.6124,0.5127,0.5768
2028 ???P,0.2095,0.019,0.4889,0.8141
2029 ???l,1.1258,0.5987,0.4363,0.509
2030 ????,1.0293,0.5562,0.545,0.8624
2031 ?s????,1.1181,0.7648,0.9615,0.4692
2032 ?s??,0.5786,0.7895,0.5548,0.7144
2033 ???j,0.2936,0.3742,0.1795,0.4946
2034 ???j,0.8995,0.8151,0.7823,0.7106
2038 ????,0.7014,0.3132,0.5917,0.5716
2049 ?W??,1.2038,1.4046,1.0652,1.2648
2059 ?t??,0.0253,0.6384,1.031,0.4756
2062 ????,0.5717,0.6595,1.2452,0.8231
2069 ?B??,0.8591,0.3468,NA,NA
2101 ?n??,0.2977,0.6376,0.3403,0.7266
2102 ????,0.9785,0.5519,0.7794,0.6094
2103 ?x??,0.5571,1.1891,1.212,1.0091
2104 ????,0.5168,0.712,0.6766,0.3323
2105 ???s,0.7086,0.8548,0.7876,0.6214
2106 ???j,0.4448,0.6069,0.6514,0.5919
2107 ?p??,0.6109,0.6731,0.6603,0.4912
2108 ?n??,0.6016,0.7887,1.0335,0.3291
2109 ????,0.3224,0.4518,0.6145,0.4657
2114 ??????,0.2875,0.3256,0.7406,0.5909
2115 ???u-KY,0.5492,0.7086,1.1774,1.3482
2201 ????,0.6157,0.8969,1.022,0.9156
2204 ????,0.5433,0.4442,0.723,0.7968
2206 ?T???u?~,0.2952,0.3102,0.5563,0.7569
2207 ?M????,1.0442,1.3022,1.3912,1.5813
2208 ?x??,0.5222,0.3565,0.5853,0.5535
2227 ??????,0.6026,0.7415,0.7154,0.7577
2228 ?C??,0.5261,0.76,1.1844,1.1906
2231 ????,0.9871,0.8567,0.9584,1.3641
2236 ???F-KY,0.5563,1.465,1.6175,NA
2239 ?^?Q-KY,0.5993,0.6464,NA,NA
2243 ????-KY,2.7348,NA,NA,NA
2301 ???_??,0.8772,1.0215,0.8682,1.0484
2302 ?R??,0.4696,0.7683,0.95,0.8617
2303 ?p?q,0.7488,0.8116,1.0813,1.4207
2305 ????,0.488,0.8862,1.407,1.0306
2308 ?x?F?q,1.0249,1.4006,1.1394,1.2565
2312 ???_,0.5416,0.8055,1.1685,1.1853
2313 ???q,2.3016,1.2736,1.0417,1.6566
2314 ?x??,1.4304,1.4439,0.9616,1.0932
2316 ?????q,0.6122,1.0631,0.8833,1.1108
2317 ?E??,1.8365,1.0996,0.9939,1.2098
2321 ?F?T,-0.0548,-0.0072,0.5837,0.9686
2323 ????,0.6736,0.8675,0.833,0.8003
2324 ???_,0.7605,0.9264,1.3337,1.4612
2327 ????,1.4707,0.4959,0.671,1.109
2328 ?s?t,1.5889,1.5443,1.3156,1.1409
2329 ????,1.0167,0.8217,0.9257,1.2712
2330 ?x?n?q,1.4015,1.2925,1.2613,1.3984
2331 ???^,1.1021,0.685,0.9418,0.3573
2332 ???T,1.0228,0.8164,1.1261,0.96
2337 ????,1.1083,0.8976,1.0692,0.8842
2338 ???n,0.259,0.4508,0.5994,0.5544
2340 ???U,1.4356,0.7729,1.0706,1.1308
2342 ?Z??,0.7872,-0.0111,0.5028,1.0483
2344 ?????q,1.3449,0.8365,1.1426,1.2404
2345 ????,1.1591,1.0029,0.6903,1.0697
2347 ?p?j,0.6152,0.9605,0.9316,0.8823
2348 ????,1.1727,-0.0072,0.1065,0.1565
2349 ???w,0.5838,1.0171,0.7312,1.2099
2351 ???w,1.7071,1.1678,0.9506,1.0242
2352 ???@?F,1.0593,1.0134,1.1956,1.4992
2353 ????,0.7755,1.3663,1.3438,1.199
2354 ?E??,1.254,1.2773,1.3533,0.9196
2355 ?q?P,0.778,1.0318,0.9878,0.8296
2356 ?^?~?F,0.8318,1.0414,0.8886,1.3721
2357 ????,0.4633,0.8752,0.8874,1.1031
2358 ????,0.8089,0.4541,0.9841,1.1961
2359 ??????,0.8985,0.7743,0.6133,0.6284
2360 ?P?Z,0.8413,0.6993,0.7654,0.9069
2362 ????,0.8851,0.7702,1.2057,0.9144
2363 ????,0.6,0.6022,1.2897,1.0742
2364 ????,0.2252,0.4712,0.4403,0.593
2365 ????,0.4516,0.6155,1.0859,1.1306
2367 ????,0.9843,0.7576,1.1533,1.0015
2368 ?????q,1.2551,1.5142,1.7331,1.1084
2369 ????,1.1065,0.9732,1.504,1.0427
2371 ?j?P,0.6164,0.9659,1.0187,0.7072
2373 ?_????,0.2686,0.316,0.3935,0.5089
2374 ????,0.8544,0.7681,0.7722,0.9408
2375 ???_,0.8502,0.5046,0.6005,0.3707
2376 ????,0.8237,0.7987,0.6527,1.0339
2377 ?L?P,1.0712,0.9986,0.7696,0.9407
2379 ???R,1.2808,1.1366,1.1867,1.5039
2380 ?i??,0.3988,0.4953,0.4702,1.1041
2382 ?s?F,0.9671,1.1914,0.9261,0.9559
2383 ?x???q,1.6547,0.8737,1.1774,0.9099
2385 ?s??,0.6502,0.9944,0.6122,0.9005
2387 ????,0.5513,0.7716,1.0343,1.1492
2388 ????,0.3025,0.7668,0.4689,0.817
2390 ????,0.7552,1.3896,1.3944,1.2603
2392 ???Q,0.9523,0.7012,0.9983,0.6119
2393 ????,0.7079,0.9041,1.0438,1.008
2395 ????,0.9203,0.8474,1.044,1.5082
2397 ???q,0.427,0.8724,1.0206,0.7989
2399 ?M??,0.1939,0.4476,0.8268,0.4829
2401 ????,1.4525,1.0616,1.3691,1.2828
2402 ????,1.3014,1.1692,1.2684,1.362
2404 ?~??,0.662,0.666,0.7352,0.7557
2405 ?E??,1.0331,0.7943,1.3138,1.1231
2406 ????,1.117,1.2592,1.3506,1.4476
2408 ?n????,1.4171,0.8144,1.2308,1.3951
2409 ???F,0.8287,1.2131,1.3577,1.6369
2412 ?????q,0.3014,0.3529,0.3006,0.2973
2413 ????,1.0932,1.0073,1.169,1.2054
2414 ????,0.3427,0.3287,0.7436,0.6262
2415 ???s,1.4691,1.1193,1.2531,0.9375
2417 ????,0.7775,0.6186,0.7476,0.6986
2419 ???a,0.6278,0.7634,0.9532,1.0967
2420 ?s??,0.3335,0.8012,0.8434,1.2878
2421 ????,0.8012,0.9712,0.8665,0.5558
2423 ?T?n,0.5131,0.4188,0.6097,0.3107
2424 ????,0.6324,0.3412,0.561,0.4475
2425 ????,0.0796,0.3678,0.4658,1.0244
2426 ????,1.1253,0.9842,1.3056,1.3501
2427 ?T???q,0.3429,0.5615,1.1672,1.1416
2428 ????,1.3049,0.959,0.7795,1.1509
2429 ??????,-0.1694,-0.589,0.1123,-0.0866
2430 ???[,0.1368,0.449,0.6351,0.6814
2431 ?p??,1.0543,1.1265,1.5993,0.9101
2433 ?????q,0.1807,0.2504,0.3175,0.2974
2434 ????,0.1739,0.2706,1.1836,0.8098
2436 ?????q,1.288,1.561,1.2558,1.421
2438 ????,0.5153,0.2676,0.6534,0.6996
2439 ????,1.8351,1.5299,1.5144,1.7764
2440 ??????,0.6452,0.4763,0.5745,0.703
2441 ?W??,0.482,0.6413,0.9179,0.9444
2442 ?s????,0.9789,0.7865,0.7784,0.5751
2443 ?s?Q?i,0.5177,0.4541,-0.0015,0.4953
2444 ????,0.1304,1.3566,0.9427,0.6336
2448 ???q,1.714,1.1084,1.6382,1.309
2449 ?????q?l,1.0201,0.6539,0.7434,1.1815
2450 ????,0.2822,0.3707,0.6733,0.5941
2451 ????,0.6372,0.8184,1.0766,0.7429
2453 ???s,1.2996,0.6123,0.9476,1.0152
2454 ?p?o??,1.5425,1.5137,1.4489,1.1304
2455 ???s,0.9025,0.7555,1.2677,1.0039
2456 ?_?O?s,1.2943,1.0599,1.4982,0.9672
2457 ????,1.0385,1.1643,1.2542,1.3632
2458 ?q??,1.0662,1.0195,1.2529,0.8383
2459 ???N,0.6948,0.4657,0.6326,0.6954
2460 ???q,1.0507,0.4247,0.746,0.9718
2461 ???s?p,0.6385,0.6662,0.2682,0.746
2462 ?}?o?q,0.8103,0.6007,0.8882,0.7452
2464 ????,0.9665,0.8277,0.6556,0.9725
2465 ?R?O,0.8724,0.6903,0.9952,0.9669
2466 ?a???q,0.3065,0.1791,0.3227,0.3093
2467 ???t,1.0458,0.4608,0.945,1.112
2468 ???g,0.4327,0.3441,0.4726,1.1721
2471 ???q,0.4572,0.4529,0.8948,0.8957
2472 ?????q,1.1526,1.0338,1.0725,0.9993
2474 ?i??,1.7127,1.8734,1.278,1.6173
2475 ???M,0.6981,0.8191,0.8574,0.7132
2476 ?d??,0.6008,0.5629,0.7872,0.3466
2477 ?????q,1.123,0.682,0.8561,0.8687
2478 ?j??,1.3512,0.4362,0.6793,0.9169
2480 ??????,0.3357,0.4357,0.6691,0.4922
2481 ?j?Z,1.1642,1.1674,1.255,0.6312
2482 ?s?t,0.3354,1.051,0.717,0.1122
2483 ???e,0.4286,0.5326,0.6923,0.8022
2484 ????,1.0205,1.138,1.3511,1.1282
2485 ????,0.753,0.9404,0.8593,0.9332
2486 ?@??,1.3146,0.7391,0.95,1.0163
2488 ?~??,0.7953,0.8165,1.1119,1.2268
2489 ???a,0.4048,0.5226,0.4692,0.7627
2491 ?N????,-0.1203,0.6328,1.0057,0.6626
2492 ???s??,1.3021,1.3088,1.2679,1.1856
2493 ????,0.3277,0.4462,0.7737,0.5531
2495 ???w,0.5018,0.5588,0.7766,0.7122
2496 ???V,0.7783,-0.0473,0.3964,0.6971
2497 ???Q?q,0.6202,0.7083,1.0314,1.211
2498 ???F?q,0.6528,1.6814,1.1825,0.9637
2499 ?F??,0.94,0.9999,1.6443,1.027
2501 ????,0.9172,0.5608,0.7291,0.1754
2504 ????,0.7723,0.6003,0.7655,0.4483
2505 ????,0.5891,0.3984,0.833,0.2966
2506 ???],0.3258,0.0896,0.6657,0.3357
2509 ???[??,0.2396,0.2189,0.2316,0.3445
2511 ???l,0.5694,0.6132,0.7291,0.843
2514 ?s??,0.4432,0.2035,0.4547,0.7697
2515 ???u,0.5811,0.7177,0.7381,0.6455
2516 ?s??,0.4997,0.4139,0.5846,0.2556
2520 ?a?w,1.141,0.8517,1.0377,0.6296
2524 ????,0.3456,0.2777,0.5102,0.4627
2527 ???[,0.4499,0.506,0.4466,0.3942
2528 ????,0.1745,0.4493,0.1905,0.382
2530 ????,0.4321,0.2071,0.4763,0.4762
2534 ????,0.4165,0.6502,0.7239,0.5302
2535 ?F?Y?u,0.2362,0.4437,0.5715,0.4307
2536 ????,0.1054,0.4386,0.4816,0.5067
2537 ?p?W?o,0.278,0.372,0.4857,0.2838
2538 ????,0.5342,0.6588,0.5419,0.5209
2539 ??????,0.1776,0.3301,0.6963,0.4343
2540 ?R?s?L,0.3604,0.4584,-0.0065,0.2992
2542 ???I?o,0.594,0.9634,0.7996,0.42
2543 ????,0.063,0.2585,0.2669,0.1003
2545 ????,0.5144,0.8526,0.802,0.5473
2546 ????,0.2546,0.3319,0.6024,0.3214
2547 ??????,0.6563,0.519,0.6252,0.8242
2548 ???T,0.3775,0.6577,0.5448,0.7515
2597 ????,0.2558,0.3791,0.9181,0.2502
2601 ?q??,0.6595,0.7463,1.0664,1.026
2603 ???a,0.7582,0.9443,0.9261,0.8896
2605 ?s??,0.8419,0.5443,0.5886,0.6401
2606 ????,1.2067,0.6975,1.0178,0.7997
2607 ?a?B,0.5673,0.4159,0.7433,0.7198
2608 ?j?a,0.4087,0.2353,0.2705,0.6837
2609 ????,0.9457,0.7162,1.1679,1.0126
2610 ????,0.67,0.6202,0.7313,0.556
2611 ???H,0.315,0.3203,0.6476,0.4638
2612 ????,0.9126,0.6586,0.8492,0.5772
2613 ???d,0.3074,0.2188,0.6573,0.7971
2614 ?F??,0.5457,0.9371,1.3198,1.0085
2615 ?U??,0.7172,0.7392,1.0197,0.964
2616 ?s??,0.3498,0.136,0.2603,0.2387
2617 ?x??,0.7483,0.6361,0.828,0.7328
2618 ???a??,0.4865,0.5678,0.686,0.7251
2630 ????,NA,NA,NA,NA
2633 ?x?W???K,0.3059,-0.3743,NA,NA
2634 ?~??,0.2707,0.5289,0.7509,0.797
2636 ?x?~????,0.4502,NA,1.0451,0.8435
2637 ?z?v-KY,0.3891,0.1731,0.3231,0.3725
2642 ?v?t?q,0.3177,0.6462,1.1534,0.7308
2701 ?U??,0.2167,0.2708,0.4043,0.3457
2702 ????,0.1244,0.3358,0.341,0.4782
2704 ????,0.3893,0.286,0.4265,0.5468
2705 ????,0.1851,0.495,0.6914,0.73
2706 ???@??,0.1687,0.2199,0.252,0.2748
2707 ????,0.1365,0.1385,0.6749,0.5801
2712 ??????,0.0806,0.2786,0.3475,0.4399
2722 ?L??,-0.0499,0.0566,0.1506,0.2328
2723 ????-KY,0.848,0.6429,0.4532,0.3574
2727 ???~,0.6795,0.8974,0.8499,0.6195
2731 ????,0.8485,0.8661,0.8813,0.7882
2739 ?H??,0.342,0.2983,NA,NA
2748 ???~,0.4901,NA,NA,NA
2801 ????,0.5496,0.7744,0.7176,0.8659
2809 ??????,0.639,0.7987,0.7394,0.5343
2812 ?x????,0.3665,0.4059,0.4851,0.3963
